short,url,use
Salganik-Dodds-Watts 2006,https://collaborate.princeton.edu/en/publications/experimental-study-of-inequality-and-unpredictability-in-an-artif/,RCT-style artificial music market; visible popularity increased inequality/unpredictability.
Muchnik-Aral-Taylor 2013,https://pubmed.ncbi.nlm.nih.gov/23929980/,Randomized social news experiment; initial positive vote increased later positive ratings by 32% and final ratings by 25%.
Chaney-Stewart-Engelhardt 2018,https://bstewart.scholar.princeton.edu/publications/how-algorithmic-confounding-recommendation-systems-increases-homogeneity-and,Recommender feedback loops; algorithmic confounding homogenizes behaviour without increasing utility.
Popularity bias survey 2024,https://link.springer.com/article/10.1007/s11257-024-09406-0,Survey showing many recommender systems exhibit popularity bias.
Dynamic feedback loops in recommender systems 2026,https://link.springer.com/article/10.1007/s10844-026-01025-y,Feedback loops magnify popularity bias and reduce diversity/personalization.
Coordination Network Toolkit 2024,https://link.springer.com/article/10.1007/s42001-024-00260-z,Directed/weighted coordination network construction; co-link/co-retweet/co-reply/co-similarity.
Rogers & Righetti 2025,https://journals.sagepub.com/doi/10.1177/29768624251369784,"Manufactured attention; repeated same-action within time window r,t; commercial ad/scam networks surfaced."
Coordinated link sharing on Facebook 2025,https://www.nature.com/articles/s41598-025-00233-w,"Coordination detection using inter-arrival time and repetitive sharing, not just timing."
CIB and information spreading 2022,https://www.sciencedirect.com/science/article/pii/S0167923622000902,"Coordinated users spread faster, occupy early cascade positions, increase outreach up to saturation threshold."
Shilling attacks target item analysis 2015,https://pmc.ncbi.nlm.nih.gov/articles/PMC4519300/,Collaborative filtering vulnerability to profile injection; modest attacks can manipulate outputs.
Genre trust shilling defence 2021/2023,https://link.springer.com/article/10.1007/s40747-021-00357-2,Shilling attacks are a significant vulnerability of collaborative filtering recommender systems.
NBER fake reviews 2023,https://www.nber.org/papers/w31836,"10,000-person experiment; fake reviews increase lower-quality purchases; welfare losses about 12 cents per dollar; education reduced harm by 44%."
NBER fake reviews equilibrium 2025,https://www.nber.org/papers/w34161,Structural Amazon model; fake reviews reduce consumer welfare and shift sales from honest to dishonest sellers.
UK fake reviews research,https://www.gov.uk/government/publications/investigating-the-prevalence-and-impact-of-fake-reviews/fake-online-reviews-research-executive-summary,Network features stronger predictors of fake reviews than text; subtle fake reviews increased purchase probability.
Nature Communications bots 2018,https://www.nature.com/articles/s41467-018-06930-7,14M messages / 400k articles; bots disproportionately amplify low-credibility content early and humans reshare bot content.
Science outrage 2024,https://pubmed.ncbi.nlm.nih.gov/39607912/,8 studies; outrage facilitates sharing and users are more willing to share outrage-evoking misinformation without reading first.
Google Search spam update 2024,https://blog.google/products-and-platforms/products/search/google-search-update-march-2024/,Official claim: 45% less low-quality unoriginal content after March 2024 update; scaled content/site reputation/expired domain abuse.
Google Search Central spam policies,https://developers.google.com/search/blog/2024/03/core-update-spam-policies,Scaled content abuse defined as many pages generated primarily to manipulate rankings and not help users.
