fake_reviews,posterior_mean_quality
0,3.3741935483870966
1,3.484210526315789
2,3.5802816901408447
3,3.6649006622516547
4,3.7399999999999993
5,3.8071005917159755
6,3.8674157303370786
7,3.9219251336898395
8,3.971428571428571
9,4.0165853658536586
10,4.057943925233645
11,4.0959641255605375
12,4.131034482758621
13,4.1634854771784235
14,4.1936
15,4.221621621621622
16,4.2477611940298505
17,4.272202166064981
18,4.295104895104895
19,4.3166101694915255
20,4.336842105263158
21,4.355910543130991
22,4.373913043478261
23,4.390936555891239
24,4.407058823529412
25,4.4223495702005735
26,4.436871508379888
27,4.4506811989100825
28,4.463829787234044
29,4.476363636363637
30,4.488324873096448
31,4.499751861042184
32,4.5106796116504855
33,4.521140142517814
34,4.531162790697676
35,4.540774487471527
36,4.550000000000001
37,4.558862144420133
38,4.567381974248929
39,4.575578947368422
40,4.583471074380166
41,4.59107505070994
42,4.598406374501993
43,4.605479452054795
44,4.612307692307693
45,4.61890359168242
46,4.625278810408923
47,4.631444241316271
48,4.637410071942447
49,4.643185840707965
50,4.648780487804879
51,4.654202401372213
52,4.65945945945946
53,4.664559068219635
54,4.669508196721312
55,4.674313408723749
56,4.678980891719746
57,4.683516483516484
58,4.687925696594427
59,4.6922137404580155
60,4.6963855421686755
