fake_positive_reviews,posterior_quality_mean
0,0.5882352941176471
1,0.6
2,0.6111111111111112
3,0.6216216216216216
4,0.631578947368421
5,0.6410256410256411
6,0.65
7,0.6585365853658537
8,0.6666666666666666
9,0.6744186046511628
10,0.6818181818181818
11,0.6888888888888889
12,0.6956521739130435
13,0.7021276595744681
14,0.7083333333333334
15,0.7142857142857143
16,0.72
17,0.7254901960784313
18,0.7307692307692307
19,0.7358490566037735
20,0.7407407407407407
21,0.7454545454545455
22,0.75
23,0.7543859649122807
24,0.7586206896551724
25,0.7627118644067796
26,0.7666666666666667
27,0.7704918032786885
28,0.7741935483870968
29,0.7777777777777778
30,0.78125
31,0.7846153846153846
32,0.7878787878787878
33,0.7910447761194029
34,0.7941176470588235
35,0.7971014492753623
36,0.8
37,0.8028169014084507
38,0.8055555555555556
39,0.8082191780821918
40,0.8108108108108109
41,0.8133333333333334
42,0.8157894736842105
43,0.8181818181818182
44,0.8205128205128205
45,0.8227848101265823
46,0.825
47,0.8271604938271605
48,0.8292682926829268
49,0.8313253012048193
50,0.8333333333333334
51,0.8352941176470589
52,0.8372093023255814
53,0.8390804597701149
54,0.8409090909090909
55,0.8426966292134831
56,0.8444444444444444
57,0.8461538461538461
58,0.8478260869565217
59,0.8494623655913979
60,0.851063829787234
