t,seeded_share,top_item,top_share,scenario
0,0.047619047619047616,17,0.09523809523809523,clean
10,0.06451612903225806,17,0.12903225806451613,clean
50,0.056338028169014086,17,0.19718309859154928,clean
100,0.05785123966942149,17,0.19008264462809918,clean
500,0.05950095969289827,17,0.15163147792706333,clean
1000,0.07149853085210578,17,0.14887365328109697,clean
2500,0.07378024593415311,17,0.1507338357794526,clean
4999,0.07051792828685259,17,0.1595617529880478,clean
0,0.801980198019802,0,0.801980198019802,seeded_item0
10,0.7747747747747747,0,0.7747747747747747,seeded_item0
50,0.7218543046357616,0,0.7218543046357616,seeded_item0
100,0.7014925373134329,0,0.7014925373134329,seeded_item0
500,0.7004991680532446,0,0.7004991680532446,seeded_item0
1000,0.7075386012715713,0,0.7075386012715713,seeded_item0
2500,0.7054978854286813,0,0.7054978854286813,seeded_item0
4999,0.691764705882353,0,0.691764705882353,seeded_item0
